name,age,weight,height,DOB
John Doe,34,78.5,175.2,1990-03-12
Jane Smith,,,168.5,1985-07-21
Bob Johnson,45,95.2,180.0,1979-11-02
Alice Brown,23,55.3,162.3,2001-05-14
Charlie Wilson,67,82.1,,"1957-08-30"
Diana Prince,29,,170.0,1995-12-01
Ethan Hunt,41,88.4,178.0,1983-06-25
Fiona Apple,19,52.1,160.2,2005-09-17
George Clooney,60,84.3,,1964-05-06
Hannah Montana,17,50.0,155.0,2007-11-23
Ivy Chen,52,102.5,165.0,1972-01-09
Jack Black,48,110.0,172.0,1976-08-28
Kara ZorEl,26,63.2,173.5,1998-04-10
Leo Messi,36,72.0,169.0,1988-06-24
Mona Lisa,31,58.9,162.0,1993-02-17
Nick Fury,55,91.0,185.0,1969-09-19
Olivia Wilde,39,61.0,167.5,1985-03-10
Peter Pan,14,40.5,148.0,2010-11-30
Quinn Fabray,22,54.2,164.0,2002-07-08
Rachel Green,33,57.8,165.5,1991-04-25
Steve Rogers,104,110.0,188.0,1920-07-04
Tina Fey,53,66.0,163.0,1971-05-18
Uma Thurman,54,68.4,171.0,1970-04-29
Victor Stone,27,95.0,178.5,1997-12-23
Wanda Max,30,57.0,168.0,1994-02-10
Xander Cage,42,85.0,179.0,1982-03-14
Yara Shahidi,24,54.0,161.0,2000-02-10
Zach Efron,36,75.0,173.0,1988-10-18
Amy Adams,49,63.0,164.0,1975-08-20
Brad Pitt,60,78.0,180.5,1964-12-18
Chris Evans,42,88.0,184.0,1982-06-13
Dwayne Johnson,52,118.0,196.0,1972-05-02
Emma Watson,34,55.0,165.0,1990-04-15
Freddie Highmore,32,67.0,173.0,1992-02-14
Gal Gadot,39,58.0,178.0,1985-04-30
Hugh Jackman,55,87.0,188.0,1968-10-12
Irina Shayk,38,57.0,176.0,1986-01-06
Jake Gyllenhaal,43,80.0,183.0,1980-12-19
Kate Winslet,48,65.0,169.0,1975-10-05
Leonardo DiCaprio,49,82.0,183.0,1974-11-11
Meryl Streep,74,61.0,168.0,1949-06-22
Natalie Portman,42,54.0,160.0,1981-06-09
Oscar Isaac,44,76.0,174.0,1979-03-09
Penelope Cruz,49,57.0,168.0,1974-04-28
Queen Latifah,54,98.0,168.0,1970-03-18
Robert Downey Jr.,59,78.0,174.0,1965-04-04
Scarlett Johansson,39,57.0,162.0,1984-11-22
Tom Holland,27,66.0,173.0,1996-06-01
Uma P.,54,68.0,171.0,1970-04-29
Vin Diesel,56,102.0,183.0,1967-07-18
Will Smith,55,85.0,188.0,1968-09-25
Xena Warrior,33,62.0,172.0,1991-11-11
Yelena Belova,25,58.0,170.0,1999-03-14
Zendaya,27,57.0,178.0,1996-09-01
Adam Driver,40,82.0,189.0,1983-11-19
Brie Larson,34,58.0,170.0,1989-10-01
Chris Hemsworth,40,100.0,190.0,1983-08-11
Dakota Johnson,34,60.0,171.0,1989-10-04
Elizabeth Olsen,35,56.0,168.0,1989-02-16
Florence Pugh,28,57.0,162.0,1996-01-03
Gwyneth Paltrow,51,59.0,175.0,1972-09-27
Henry Cavill,40,92.0,185.0,1983-05-05
Idris Elba,51,90.0,189.0,1972-09-06
Jennifer Lawrence,33,61.0,175.0,1990-08-15
Keanu Reeves,59,80.0,186.0,1964-09-02
Lupita Nyong'o,41,54.0,165.0,1983-03-01
Margot Robbie,33,57.0,168.0,1990-07-02
Naomi Watts,55,60.0,165.0,1968-09-28
Orlando Bloom,47,76.0,180.0,1977-01-13
Paul Rudd,55,78.0,175.0,1969-04-06
Quentin Tarantino,61,85.0,185.0,1963-03-27
Ryan Reynolds,47,82.0,188.0,1976-10-23
Sandra Bullock,59,59.0,171.0,1964-07-26
Tom Hardy,46,85.0,175.0,1977-09-15
Uma Thurman2,54,68.0,171.0,1970-04-29
Viola Davis,58,62.0,165.0,1965-08-11
Woody Harrelson,62,77.0,177.0,1961-07-23
Xochitl Gomez,18,50.0,158.0,2006-04-29
Yvonne Strahovski,41,60.0,175.0,1982-07-30
Zoe Saldana,45,55.0,170.0,1978-06-19
Aaron Paul,44,72.0,173.0,1979-08-27
Benedict Cumberbatch,47,78.0,183.0,1976-07-19
Charlize Theron,48,61.0,177.0,1975-08-07
Daniel Craig,56,78.0,183.0,1968-03-02
Emilia Clarke,37,55.0,157.0,1986-10-23
,,65.0,170.0,1990-01-01
George Clooney2,60,84.0,180.0,1964-05-06
Halle Berry,57,59.0,168.0,1966-08-14
Ian McKellen,84,74.0,180.0,1939-05-25
Joaquin Phoenix,49,75.0,173.0,1974-10-28
Kristen Bell,43,56.0,155.0,1980-07-18
Liam Neeson,71,86.0,193.0,1952-06-07
Mila Kunis,40,56.0,163.0,1983-08-14
Neil Patrick Harris,50,74.0,183.0,1973-06-15
Oprah Winfrey,70,98.0,169.0,1954-01-29
Patrick Stewart,83,70.0,178.0,1940-07-13
Queen Elizabeth,96,50.0,163.0,1926-04-21
Rami Malek,42,67.0,175.0,1981-05-12
Seth Rogen,41,105.0,180.0,1982-04-15
Tessa Thompson,40,59.0,164.0,1983-10-03
,,72.0,182.0,1987-06-15
Vince Vaughn,54,110.0,196.0,1970-03-28
Whoopi Goldberg,68,78.0,165.0,1955-11-13
Xavier Dolan,35,68.0,169.0,1989-03-20
Yara Martinez,44,60.0,163.0,1979-08-31
Zhang Ziyi,45,49.5,164.0,1979-02-09
Amy Poehler,52,59.0,165.0,1971-09-16
Bruce Willis,68,88.0,183.0,1955-03-19
Cate Blanchett,54,61.0,174.0,1969-05-04
Dave Bautista,55,130.0,198.0,1969-01-18
Eddie Redmayne,42,68.0,184.0,1982-01-06
,,,160.0,2000-12-12
,,,,
Frank Grillo,58,85.0,178.0,1965-06-08
Gong Li,58,54.0,168.0,1965-12-31
Hugh Laurie,64,78.0,189.0,1959-06-11
Iggy Pop,76,65.0,170.0,1947-04-21
Judy Dench,89,55.0,155.0,1934-12-09
Ken Watanabe,64,70.0,184.0,1959-10-21
Larry David,76,78.0,180.0,1947-07-02
Maggie Smith,89,53.0,165.0,1934-12-28
Nick Nolte,83,82.0,185.0,1941-02-08
Octavia Spencer,53,68.0,157.0,1970-05-25
Paul Giamatti,56,80.0,170.0,1967-06-06
,,45.0,145.0,2018-07-04
,,,,
Ricky Gervais,62,78.0,173.0,1961-06-25
Steve Carell,61,81.0,175.0,1962-08-16
Tilda Swinton,63,59.0,179.0,1960-11-05
,,,,
,,,,
Willem Dafoe,68,75.0,175.0,1955-07-22
,,,,
,,,,
Young Thug,32,68.0,173.0,1991-08-16
Zach Galifianakis,54,105.0,170.0,1969-10-01
Adam Sandler,57,88.0,177.0,1966-09-09
,,,,
,,49.0,155.0,2015-11-01
Christopher Walken,81,71.0,183.0,1943-03-31
Don Cheadle,59,76.0,173.0,1964-11-29
,,,,
,,,,
,,,,
Forest Whitaker,62,98.0,188.0,1961-07-15
,,130.0,,
,,,,
,,,,
Hank Azaria,60,82.0,180.0,1964-04-25
,,,,
,,,,
,,,,
,,,,
Jeff Goldblum,71,85.0,194.0,1952-10-22
,,,,
Kevin Spacey,64,79.0,178.0,1959-07-26
,,,,
,,,,
,,,,
Laura Dern,57,60.0,171.0,1967-02-10
,,,,
,,,,
,,,,
,,,,
Matthew McConaughey,54,82.0,182.0,1969-11-04
,,,,
,,,,
,,,,
,,,,
Neil Young,78,65.0,173.0,1945-11-12
,,,,
,,1.2,150.0,2010-06-06
Oprah2,70,98.0,169.0,1954-01-29
Peter Dinklage,54,50.0,135.0,1969-06-11
,,400.0,200.0,1960-01-01
,,,,
,,,,
Ruth Bader Ginsburg,87,54.0,155.0,1933-03-15
Stan Lee,95,65.0,180.0,1922-12-28
,,,,
,,,,
,,,,
,,,,
,,,,
Vera Wang,74,48.0,163.0,1949-06-27
,,,,
Xzibit,49,92.0,193.0,1974-09-18
,,,,
,,,,
,,,,
Zayn Malik,31,66.0,175.0,1993-01-12
,,,,
